Rank RbOfPG,Team,Conference,Games,Offensive Rebounds,Offensive Rebounds Per Game,Season
315,Dartmouth ,Ivy League ,26,229,8.8,2023-2024
316,St. John's NY,Big East ,33,290,8.8,2023-2024
317,Omaha ,Summit League ,31,272,8.8,2023-2024
318,Ohio ,MAC ,30,263,8.8,2023-2024
319,Wright St. ,Horizon ,33,289,8.8,2023-2024
320,Loyola Maryland ,Patriot ,31,270,8.7,2023-2024
320,Quinnipiac ,MAAC ,31,270,8.7,2023-2024
322,Binghamton ,America East ,31,269,8.7,2023-2024
323,Hawaii ,Big West ,31,268,8.6,2023-2024
324,Denver ,Summit League ,30,258,8.6,2023-2024
324,Little Rock ,OVC ,30,258,8.6,2023-2024
326,Iona ,MAAC ,30,256,8.5,2023-2024
327,Louisiana ,Sun Belt ,31,262,8.5,2023-2024
328,Vermont ,America East ,37,312,8.4,2023-2024
329,Western Mich. ,MAC ,30,252,8.4,2023-2024
330,Missouri ,SEC ,30,251,8.4,2023-2024
331,UC Davis ,Big West ,34,284,8.4,2023-2024
332,UT Martin ,OVC ,33,274,8.3,2023-2024
333,Lehigh ,Patriot ,30,246,8.2,2023-2024
334,Houston Christian ,Southland ,29,237,8.2,2023-2024
335,Rider ,MAAC ,31,250,8.1,2023-2024
336,Lafayette ,Patriot ,30,241,8,2023-2024
337,Boston U. ,Patriot ,32,253,7.9,2023-2024
338,Valparaiso ,MVC ,30,236,7.9,2023-2024
339,Indiana ,Big Ten ,32,251,7.8,2023-2024
340,Oklahoma St. ,Big 12 ,30,233,7.8,2023-2024
341,Wyoming ,Mountain West ,33,252,7.6,2023-2024
342,Xavier ,Big East ,28,212,7.6,2023-2024
343,Bradley ,MVC ,32,240,7.5,2023-2024
344,Bucknell ,Patriot ,31,230,7.4,2023-2024
345,Saint Mary's CA,WCC ,31,225,7.3,2023-2024
346,Richmond ,Atlantic 10 ,35,254,7.3,2023-2024
347,Chattanooga ,SoCon ,33,232,7,2023-2024
348,High Point ,Big South ,32,212,6.6,2023-2024
349,Colorado St. ,Mountain West ,31,111,3.6,2023-2024
