Rank ScMrg,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin,Season
214,Missouri ,SEC ,30,11,19,"2,099",70,"2,130",71,-1,2023-2024
215,Canisius ,MAAC ,31,17,14,"1,880",60.6,"1,915",61.8,-1.1,2023-2024
216,Tulane ,AAC ,32,12,20,"2,060",64.4,"2,098",65.6,-1.2,2023-2024
217,NIU ,MAC ,31,15,16,"1,997",64.4,"2,034",65.6,-1.2,2023-2024
218,High Point ,Big South ,32,20,12,"2,006",62.7,"2,045",63.9,-1.2,2023-2024
219,App State ,Sun Belt ,32,17,15,"2,310",72.2,"2,350",73.4,-1.3,2023-2024
220,Presbyterian ,Big South ,36,21,15,"2,072",57.6,"2,121",58.9,-1.4,2023-2024
221,Kansas City ,Summit League ,32,12,20,"2,064",64.5,"2,111",66,-1.5,2023-2024
222,Oakland ,Horizon ,29,12,17,"2,070",71.4,"2,114",72.9,-1.5,2023-2024
223,Long Beach St. ,Big West ,33,15,18,"2,242",67.9,"2,293",69.5,-1.5,2023-2024
224,Memphis ,AAC ,30,13,17,"2,028",67.6,"2,079",69.3,-1.7,2023-2024
225,UT Arlington ,WAC ,33,17,16,"2,306",69.9,"2,364",71.6,-1.8,2023-2024
226,Southern U. ,SWAC ,30,15,15,"1,819",60.6,"1,874",62.5,-1.8,2023-2024
227,Navy ,Patriot ,31,14,17,"1,917",61.8,"1,976",63.7,-1.9,2023-2024
228,Youngstown St. ,Horizon ,32,14,18,"1,938",60.6,"2,005",62.7,-2.1,2023-2024
229,Eastern Ill. ,OVC ,33,15,18,"2,167",65.7,"2,237",67.8,-2.1,2023-2024
230,Idaho St. ,Big Sky ,30,11,19,"1,784",59.5,"1,850",61.7,-2.2,2023-2024
231,Loyola Maryland ,Patriot ,31,16,15,"1,830",59,"1,900",61.3,-2.3,2023-2024
232,Hofstra ,CAA ,32,11,21,"1,811",56.6,"1,885",58.9,-2.3,2023-2024
233,USC Upstate ,Big South ,32,16,16,"1,883",58.8,"1,965",61.4,-2.6,2023-2024
234,FDU ,NEC ,31,14,17,"1,811",58.4,"1,891",61,-2.6,2023-2024
235,Bowling Green ,MAC ,31,16,15,"2,088",67.4,"2,169",70,-2.6,2023-2024
