Rank TOMrg,Team,Conference,Games,Wins,Losses,Turnovers,Opponents Turnovers,Margin,Season
88,St. John's NY,Big East ,33,18,15,441,508,2.03,2023-2024
90,Alabama ,SEC ,34,24,10,512,580,2,2023-2024
90,Georgia St. ,Sun Belt ,30,15,15,467,527,2,2023-2024
92,A&M-Corpus Christi ,Southland ,32,23,9,523,586,1.97,2023-2024
93,Portland ,WCC ,34,21,13,603,669,1.94,2023-2024
93,SFA ,WAC ,34,22,12,527,593,1.94,2023-2024
95,Syracuse ,ACC ,32,24,8,470,530,1.88,2023-2024
96,Illinois ,Big Ten ,34,19,15,422,485,1.85,2023-2024
97,Southeast Mo. St. ,OVC ,29,9,20,483,534,1.76,2023-2024
97,William & Mary ,CAA ,29,15,14,483,534,1.76,2023-2024
99,Saint Louis ,Atlantic 10 ,40,22,18,648,718,1.75,2023-2024
100,Maine ,America East ,34,24,10,425,484,1.74,2023-2024
101,Central Conn. St. ,NEC ,30,9,21,424,476,1.73,2023-2024
102,Kent St. ,MAC ,32,21,11,432,487,1.72,2023-2024
103,Ga. Southern ,Sun Belt ,33,15,18,599,655,1.7,2023-2024
104,Creighton ,Big East ,32,26,6,346,400,1.69,2023-2024
104,Texas A&M ,SEC ,32,19,13,456,510,1.69,2023-2024
106,Towson ,CAA ,31,20,11,431,483,1.68,2023-2024
107,Rice ,AAC ,34,19,15,518,575,1.68,2023-2024
108,Texas Tech ,Big 12 ,33,17,16,544,599,1.67,2023-2024
109,Northern Ariz. ,Big Sky ,35,25,10,472,530,1.66,2023-2024
110,Army West Point ,Patriot ,29,12,17,418,466,1.66,2023-2024
110,New Hampshire ,America East ,29,9,20,483,531,1.66,2023-2024
112,Utah ,Pac-12 ,34,23,11,470,526,1.65,2023-2024
113,Omaha ,Summit League ,31,8,23,467,518,1.65,2023-2024
114,UMES ,MEAC ,30,15,15,506,555,1.63,2023-2024
115,UNI ,MVC ,32,16,16,405,457,1.63,2023-2024
116,Davidson ,Atlantic 10 ,26,18,8,363,405,1.62,2023-2024
117,Hampton ,CAA ,29,3,26,510,556,1.59,2023-2024
118,Jackson St. ,SWAC ,33,26,7,498,550,1.58,2023-2024
119,Michigan ,Big Ten ,34,20,14,510,563,1.56,2023-2024
