Rank FTPct,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Season
67,Louisville ,ACC ,34,24,10,505,673,75,2023-2024
68,Southern California ,Pac-12 ,35,29,6,491,655,75,2023-2024
69,Penn St. ,Big Ten ,35,22,13,464,619,75,2023-2024
70,UC Santa Barbara ,Big West ,31,16,15,343,458,74.9,2023-2024
71,Utah ,Pac-12 ,34,23,11,334,446,74.9,2023-2024
72,Harvard ,Ivy League ,28,16,12,304,406,74.9,2023-2024
73,Arizona ,Pac-12 ,34,18,16,442,591,74.8,2023-2024
74,UCF ,Big 12 ,29,12,17,417,558,74.7,2023-2024
75,LSU ,SEC ,37,31,6,744,998,74.5,2023-2024
76,Cal Poly ,Big West ,31,17,14,366,491,74.5,2023-2024
77,UCLA ,Pac-12 ,34,27,7,433,581,74.5,2023-2024
78,Tennessee ,SEC ,33,20,13,465,624,74.5,2023-2024
79,SFA ,WAC ,34,22,12,499,670,74.5,2023-2024
80,UConn ,Big East ,39,33,6,444,597,74.4,2023-2024
81,California Baptist ,WAC ,32,28,4,486,654,74.3,2023-2024
82,St. John's NY,Big East ,33,18,15,364,490,74.3,2023-2024
82,DePaul ,Big East ,32,12,20,338,455,74.3,2023-2024
84,NC State ,ACC ,38,31,7,537,723,74.3,2023-2024
85,Charlotte ,AAC ,31,16,15,472,636,74.2,2023-2024
86,Saint Mary's CA,WCC ,31,13,18,302,407,74.2,2023-2024
87,Colgate ,Patriot ,34,20,14,388,523,74.2,2023-2024
88,Purdue Fort Wayne ,Horizon ,36,23,13,419,565,74.2,2023-2024
89,Toledo ,MAC ,34,28,6,436,588,74.1,2023-2024
90,Hawaii ,Big West ,31,20,11,369,498,74.1,2023-2024
91,Maine ,America East ,34,24,10,306,413,74.1,2023-2024
92,William & Mary ,CAA ,29,15,14,386,521,74.1,2023-2024
93,Texas St. ,Sun Belt ,32,14,18,427,577,74,2023-2024
94,N.C. A&T ,CAA ,34,22,12,501,678,73.9,2023-2024
95,Wisconsin ,Big Ten ,32,15,17,387,524,73.9,2023-2024
96,Bucknell ,Patriot ,31,13,18,367,497,73.8,2023-2024
97,Buffalo ,MAC ,33,19,14,412,558,73.8,2023-2024
98,New Orleans ,Southland ,30,11,19,439,595,73.8,2023-2024
99,Oklahoma St. ,Big 12 ,30,14,16,323,438,73.7,2023-2024
100,Michigan St. ,Big Ten ,31,22,9,414,562,73.7,2023-2024
101,Loyola Chicago ,Atlantic 10 ,31,15,16,369,501,73.7,2023-2024
102,North Dakota ,Summit League ,30,9,21,404,549,73.6,2023-2024
103,Indiana ,Big Ten ,32,26,6,394,536,73.5,2023-2024
104,Nebraska ,Big Ten ,35,23,12,443,603,73.5,2023-2024
105,Houston Christian ,Southland ,29,6,23,276,376,73.4,2023-2024
106,UTRGV ,WAC ,29,6,23,383,522,73.4,2023-2024
107,UNCW ,CAA ,30,5,25,368,502,73.3,2023-2024
108,Omaha ,Summit League ,31,8,23,543,741,73.3,2023-2024
109,Fresno St. ,Mountain West ,33,15,18,342,468,73.1,2023-2024
110,St. Bonaventure ,Atlantic 10 ,30,4,26,309,423,73,2023-2024
111,Syracuse ,ACC ,32,24,8,398,545,73,2023-2024
112,Holy Cross ,Patriot ,34,21,13,333,456,73,2023-2024
113,Mississippi St. ,SEC ,35,23,12,462,633,73,2023-2024
114,Florida A&M ,SWAC ,30,9,21,367,503,73,2023-2024
115,FDU ,NEC ,31,14,17,286,392,73,2023-2024
116,Norfolk St. ,MEAC ,33,27,6,396,543,72.9,2023-2024
117,UC Riverside ,Big West ,32,18,14,342,469,72.9,2023-2024
118,Houston ,Big 12 ,30,14,16,377,517,72.9,2023-2024
119,Dayton ,Atlantic 10 ,31,12,19,320,439,72.9,2023-2024
120,Col. of Charleston ,CAA ,32,22,10,405,556,72.8,2023-2024
121,Oral Roberts ,Summit League ,32,21,11,472,648,72.8,2023-2024
122,Drexel ,CAA ,34,19,15,262,360,72.8,2023-2024
123,Chicago St. ,DI Independent ,27,1,26,326,448,72.8,2023-2024
124,Iona ,MAAC ,30,11,19,267,367,72.8,2023-2024
125,TCU ,Big 12 ,33,21,12,354,487,72.7,2023-2024
126,Army West Point ,Patriot ,29,12,17,311,428,72.7,2023-2024
127,Michigan ,Big Ten ,34,20,14,380,523,72.7,2023-2024
128,Portland St. ,Big Sky ,31,8,23,278,383,72.6,2023-2024
129,Binghamton ,America East ,31,14,17,267,368,72.6,2023-2024
