Rank FGPCT,Team,Conference,Games,Wins,Losses,FieldGoalsMade,FieldGoalAttempted,FieldGoalPercentage,Season
228,Manhattan ,MAAC ,30,18,12,630,"1,600",39.4,2023-2024
229,South Fla. ,AAC ,33,19,14,776,"1,971",39.4,2023-2024
230,East Carolina ,AAC ,33,19,14,784,"1,992",39.4,2023-2024
231,San Francisco ,WCC ,30,14,16,724,"1,840",39.3,2023-2024
232,Kentucky ,SEC ,32,12,20,757,"1,924",39.3,2023-2024
233,North Dakota ,Summit League ,30,9,21,732,"1,861",39.3,2023-2024
234,Iona ,MAAC ,30,11,19,627,"1,595",39.3,2023-2024
235,Cal St. Fullerton ,Big West ,31,10,21,685,"1,743",39.3,2023-2024
236,SIUE ,OVC ,31,5,26,710,"1,808",39.3,2023-2024
237,Southern Ill. ,MVC ,31,11,20,737,"1,877",39.3,2023-2024
238,Ga. Southern ,Sun Belt ,33,15,18,904,"2,306",39.2,2023-2024
239,Charleston So. ,Big South ,30,11,19,693,"1,768",39.2,2023-2024
240,Charlotte ,AAC ,31,16,15,683,"1,743",39.2,2023-2024
241,Brown ,Ivy League ,27,16,11,621,"1,585",39.2,2023-2024
242,Oregon ,Pac-12 ,32,11,21,713,"1,821",39.2,2023-2024
243,Western Ky. ,CUSA ,32,15,17,747,"1,908",39.2,2023-2024
244,Louisiana ,Sun Belt ,31,17,14,658,"1,685",39.1,2023-2024
245,Ohio ,MAC ,30,11,19,674,"1,726",39,2023-2024
246,William & Mary ,CAA ,29,15,14,649,"1,662",39,2023-2024
247,Mercer ,SoCon ,32,15,17,784,"2,009",39,2023-2024
248,N.C. A&T ,CAA ,34,22,12,763,"1,956",39,2023-2024
249,Yale ,Ivy League ,27,8,19,628,"1,610",39,2023-2024
250,Bucknell ,Patriot ,31,13,18,622,"1,596",39,2023-2024
251,Prairie View ,SWAC ,29,11,18,667,"1,715",38.9,2023-2024
252,Southern U. ,SWAC ,30,15,15,663,"1,705",38.9,2023-2024
253,USC Upstate ,Big South ,32,16,16,663,"1,706",38.9,2023-2024
254,LMU CA,WCC,30,11,19,668,"1,720",38.8,2023-2024
255,Hawaii ,Big West ,31,20,11,626,"1,612",38.8,2023-2024
256,Akron ,MAC ,29,11,18,656,"1,693",38.7,2023-2024
257,Nicholls ,Southland ,32,14,18,742,"1,915",38.7,2023-2024
258,App State ,Sun Belt ,32,17,15,795,"2,052",38.7,2023-2024
259,Rider ,MAAC ,31,10,21,618,"1,598",38.7,2023-2024
260,NJIT ,America East ,30,12,18,635,"1,642",38.7,2023-2024
