Rank 3ptPctDef,Team,Conference,Games,Wins,Losses,Opp 3Pt FGA,Opp 3Pt FG,Pct,Season
37,Purdue Fort Wayne ,Horizon ,36,23,13,716,202,28.2,2023-2024
38,Virginia Tech ,ACC ,33,25,8,577,163,28.2,2023-2024
39,Auburn ,SEC ,32,20,12,446,126,28.3,2023-2024
40,James Madison ,Sun Belt ,35,23,12,803,227,28.3,2023-2024
41,Providence ,Big East ,34,13,21,763,216,28.3,2023-2024
42,Gonzaga ,WCC ,36,32,4,706,200,28.3,2023-2024
43,Northwestern St. ,Southland ,30,11,19,528,150,28.4,2023-2024
44,Central Ark. ,ASUN ,33,21,12,587,167,28.4,2023-2024
45,N.C. A&T ,CAA ,34,22,12,702,200,28.5,2023-2024
46,Eastern Wash. ,Big Sky ,35,29,6,572,163,28.5,2023-2024
47,Long Beach St. ,Big West ,33,15,18,722,206,28.5,2023-2024
48,Temple ,AAC ,32,20,12,518,148,28.6,2023-2024
49,Tulsa ,AAC ,35,25,10,660,189,28.6,2023-2024
50,Milwaukee ,Horizon ,32,16,16,618,177,28.6,2023-2024
51,Nicholls ,Southland ,32,14,18,611,175,28.6,2023-2024
52,Furman ,SoCon ,31,15,16,604,173,28.6,2023-2024
53,Wichita St. ,AAC ,32,10,22,683,196,28.7,2023-2024
54,William & Mary ,CAA ,29,15,14,512,147,28.7,2023-2024
55,Southern U. ,SWAC ,30,15,15,497,143,28.8,2023-2024
56,Jacksonville ,ASUN ,31,11,20,635,183,28.8,2023-2024
57,Mercer ,SoCon ,32,15,17,458,132,28.8,2023-2024
58,George Mason ,Atlantic 10 ,31,23,8,614,177,28.8,2023-2024
59,Youngstown St. ,Horizon ,32,14,18,659,190,28.8,2023-2024
60,Col. of Charleston ,CAA ,32,22,10,676,195,28.8,2023-2024
61,Rider ,MAAC ,31,10,21,669,193,28.8,2023-2024
62,Cincinnati ,Big 12 ,32,14,18,713,206,28.9,2023-2024
63,South Alabama ,Sun Belt ,32,9,23,609,176,28.9,2023-2024
64,New Mexico St. ,CUSA ,31,13,18,546,158,28.9,2023-2024
65,Lamar University ,Southland ,31,24,7,494,143,28.9,2023-2024
66,Southern Miss. ,Sun Belt ,34,20,14,749,217,29,2023-2024
67,UNLV ,Mountain West ,33,30,3,652,189,29,2023-2024
68,Marist ,MAAC ,31,6,25,731,212,29,2023-2024
69,Western Ill. ,OVC ,30,18,12,657,191,29.1,2023-2024
70,Harvard ,Ivy League ,28,16,12,478,139,29.1,2023-2024
71,NC State ,ACC ,38,31,7,808,235,29.1,2023-2024
72,Texas Southern ,SWAC ,29,7,22,481,140,29.1,2023-2024
73,Ark.-Pine Bluff ,SWAC ,33,17,16,594,173,29.1,2023-2024
74,California Baptist ,WAC ,32,28,4,920,268,29.1,2023-2024
75,Mount St. Mary's ,MAAC ,31,14,17,628,183,29.1,2023-2024
76,Southern Ill. ,MVC ,31,11,20,487,142,29.2,2023-2024
77,Saint Joseph's ,Atlantic 10 ,34,28,6,583,170,29.2,2023-2024
78,Charlotte ,AAC ,31,16,15,631,184,29.2,2023-2024
79,Belmont ,MVC ,35,26,9,665,194,29.2,2023-2024
80,Norfolk St. ,MEAC ,33,27,6,641,187,29.2,2023-2024
81,Grambling ,SWAC ,33,23,10,651,190,29.2,2023-2024
82,UNC Asheville ,Big South ,31,11,20,548,160,29.2,2023-2024
83,Alabama ,SEC ,34,24,10,541,158,29.2,2023-2024
84,Elon ,CAA ,32,11,21,602,176,29.2,2023-2024
85,Washington ,Pac-12 ,31,16,15,537,157,29.2,2023-2024
86,UIW ,Southland ,30,19,11,506,148,29.2,2023-2024
87,Vanderbilt ,SEC ,33,23,10,670,196,29.3,2023-2024
88,La Salle ,Atlantic 10 ,30,8,22,618,181,29.3,2023-2024
89,Syracuse ,ACC ,32,24,8,594,174,29.3,2023-2024
90,San Francisco ,WCC ,30,14,16,621,182,29.3,2023-2024
91,Middle Tenn. ,CUSA ,35,30,5,696,204,29.3,2023-2024
92,Bucknell ,Patriot ,31,13,18,573,168,29.3,2023-2024
93,Presbyterian ,Big South ,36,21,15,702,206,29.3,2023-2024
94,UMBC ,America East ,29,10,19,443,130,29.3,2023-2024
95,Boise St. ,Mountain West ,35,21,14,695,204,29.4,2023-2024
96,Texas A&M ,SEC ,32,19,13,521,153,29.4,2023-2024
97,Penn ,Ivy League ,28,15,13,500,147,29.4,2023-2024
98,Coppin St. ,MEAC ,30,12,18,469,138,29.4,2023-2024
99,West Virginia ,Big 12 ,33,25,8,533,157,29.5,2023-2024
100,Winthrop ,Big South ,30,14,16,594,175,29.5,2023-2024
101,FIU ,CUSA ,33,21,12,597,176,29.5,2023-2024
101,Alcorn ,SWAC ,32,12,20,597,176,29.5,2023-2024
103,UC Santa Barbara ,Big West ,31,16,15,555,164,29.5,2023-2024
104,UTSA ,AAC ,33,18,15,700,207,29.6,2023-2024
105,LSU ,SEC ,37,31,6,820,243,29.6,2023-2024
106,NIU ,MAC ,31,15,16,685,203,29.6,2023-2024
107,Davidson ,Atlantic 10 ,26,18,8,361,107,29.6,2023-2024
108,Samford ,SoCon ,30,14,16,535,159,29.7,2023-2024
109,Bryant ,America East ,30,15,15,555,165,29.7,2023-2024
110,NJIT ,America East ,30,12,18,474,141,29.7,2023-2024
111,UC Riverside ,Big West ,32,18,14,595,177,29.7,2023-2024
112,Oklahoma ,Big 12 ,33,23,10,672,200,29.8,2023-2024
113,Grand Canyon ,WAC ,32,24,8,608,181,29.8,2023-2024
114,North Florida ,ASUN ,30,9,21,544,162,29.8,2023-2024
115,UAB ,AAC ,32,18,14,527,157,29.8,2023-2024
116,Northern Colo. ,Big Sky ,31,15,16,580,173,29.8,2023-2024
117,Georgetown ,Big East ,35,23,12,606,181,29.9,2023-2024
118,Radford ,Big South ,33,15,18,622,186,29.9,2023-2024
119,Jacksonville St. ,CUSA ,29,12,17,461,138,29.9,2023-2024
120,Northeastern ,CAA ,27,10,17,604,181,30,2023-2024
121,Memphis ,AAC ,30,13,17,387,116,30,2023-2024
122,UMass Lowell ,America East ,29,4,25,423,127,30,2023-2024
123,Nebraska ,Big Ten ,35,23,12,762,229,30.1,2023-2024
124,LMU CA,WCC ,30,11,19,608,183,30.1,2023-2024
125,Louisiana Tech ,CUSA ,33,14,19,611,184,30.1,2023-2024
126,Santa Clara ,WCC ,34,25,9,601,181,30.1,2023-2024
127,Idaho ,Big Sky ,31,15,16,498,150,30.1,2023-2024
128,Quinnipiac ,MAAC ,31,13,18,644,194,30.1,2023-2024
129,New Mexico ,Mountain West ,32,21,11,713,215,30.2,2023-2024
130,UCF ,Big 12 ,29,12,17,514,155,30.2,2023-2024
131,FGCU ,ASUN ,34,29,5,484,146,30.2,2023-2024
132,Lipscomb ,ASUN ,30,17,13,663,200,30.2,2023-2024
133,Arkansas St. ,Sun Belt ,30,13,17,633,191,30.2,2023-2024
134,Maine ,America East ,34,24,10,520,157,30.2,2023-2024
135,Western Ky. ,CUSA ,32,15,17,712,215,30.2,2023-2024
136,Stetson ,ASUN ,32,17,15,659,199,30.2,2023-2024
137,Richmond ,Atlantic 10 ,35,29,6,798,241,30.2,2023-2024
138,New Orleans ,Southland ,30,11,19,639,193,30.2,2023-2024
139,Portland ,WCC ,34,21,13,533,161,30.2,2023-2024
140,Ohio St. ,Big Ten ,32,26,6,579,175,30.2,2023-2024
141,Iona ,MAAC ,30,11,19,562,170,30.2,2023-2024
142,Virginia ,ACC ,32,16,16,690,209,30.3,2023-2024
143,Evansville ,MVC ,32,4,28,614,186,30.3,2023-2024
144,FDU ,NEC ,31,14,17,498,151,30.3,2023-2024
145,Louisville ,ACC ,34,24,10,620,188,30.3,2023-2024
146,Binghamton ,America East ,31,14,17,432,131,30.3,2023-2024
147,American ,Patriot ,30,10,20,521,158,30.3,2023-2024
148,Western Mich. ,MAC ,30,12,18,544,165,30.3,2023-2024
149,Oklahoma St. ,Big 12 ,30,14,16,656,199,30.3,2023-2024
150,Stanford ,Pac-12 ,36,30,6,735,223,30.3,2023-2024
151,St. John's NY,Big East ,33,18,15,491,149,30.3,2023-2024
152,Colorado St. ,Mountain West ,31,20,11,692,210,30.3,2023-2024
153,Boston College ,ACC ,33,14,19,560,170,30.4,2023-2024
154,Cleveland St. ,Horizon ,35,29,6,774,235,30.4,2023-2024
155,Kent St. ,MAC ,32,21,11,665,202,30.4,2023-2024
156,Texas Tech ,Big 12 ,33,17,16,599,182,30.4,2023-2024
157,Creighton ,Big East ,32,26,6,539,164,30.4,2023-2024
158,Miami FL,ACC ,31,19,12,654,199,30.4,2023-2024
159,Alabama St. ,SWAC ,29,3,26,453,138,30.5,2023-2024
160,Mississippi Val. ,SWAC ,31,4,27,659,201,30.5,2023-2024
161,Morehead St. ,OVC ,30,15,15,544,166,30.5,2023-2024
162,Utah Valley ,WAC ,29,10,19,655,200,30.5,2023-2024
163,Ohio ,MAC ,30,11,19,725,222,30.6,2023-2024
164,Abilene Christian ,WAC ,30,14,16,653,200,30.6,2023-2024
165,Hofstra ,CAA ,32,11,21,555,170,30.6,2023-2024
166,UMES ,MEAC ,30,15,15,535,164,30.7,2023-2024
