Rank FTAtPG,Team,Conferences,Games,Wins,Losses,Free Throws Made,Free Throw Attempts,Avg,Season
167,Merrimack ,NEC ,31,12,19,365,512,16.52,2023-2024
167,Towson ,CAA ,31,20,11,367,512,16.52,2023-2024
169,Monmouth ,CAA ,32,22,10,380,527,16.47,2023-2024
170,Winthrop ,Big South ,30,14,16,344,494,16.47,2023-2024
171,Norfolk St. ,MEAC ,33,27,6,396,543,16.45,2023-2024
172,BYU ,Big 12 ,33,16,17,337,542,16.42,2023-2024
173,Wisconsin ,Big Ten ,32,15,17,387,524,16.38,2023-2024
174,Boise St. ,Mountain West ,35,21,14,386,573,16.37,2023-2024
175,Bowling Green ,MAC ,31,16,15,356,506,16.32,2023-2024
176,Southern Miss. ,Sun Belt ,34,20,14,415,553,16.26,2023-2024
177,Pacific ,WCC ,34,19,15,421,552,16.24,2023-2024
178,Northern Ariz. ,Big Sky ,35,25,10,444,568,16.23,2023-2024
179,Georgia Tech ,ACC ,33,17,16,376,535,16.21,2023-2024
179,Wright St. ,Horizon ,33,18,15,420,535,16.21,2023-2024
181,Grand Canyon ,WAC ,32,24,8,375,518,16.19,2023-2024
182,Chattanooga ,SoCon ,33,28,5,412,534,16.18,2023-2024
183,Loyola Chicago ,Atlantic 10 ,31,15,16,369,501,16.16,2023-2024
184,Colorado ,Pac-12 ,34,24,10,396,549,16.15,2023-2024
185,Delaware St. ,MEAC ,28,8,20,303,452,16.14,2023-2024
186,New Mexico St. ,CUSA ,31,13,18,347,500,16.13,2023-2024
187,UT Martin ,OVC ,33,16,17,412,532,16.12,2023-2024
188,Georgia ,SEC ,30,12,18,332,483,16.1,2023-2024
189,Rhode Island ,Atlantic 10 ,35,21,14,368,563,16.09,2023-2024
190,Cornell ,Ivy League ,26,7,19,295,418,16.08,2023-2024
191,Hawaii ,Big West ,31,20,11,369,498,16.06,2023-2024
192,Illinois ,Big Ten ,34,19,15,434,546,16.06,2023-2024
193,NJIT ,America East ,30,12,18,333,481,16.03,2023-2024
194,Bucknell ,Patriot ,31,13,18,367,497,16.03,2023-2024
195,New Mexico ,Mountain West ,32,21,11,358,510,15.94,2023-2024
196,Little Rock ,OVC ,30,12,18,303,478,15.93,2023-2024
197,Oklahoma ,Big 12 ,33,23,10,374,525,15.91,2023-2024
198,UNC Asheville ,Big South ,31,11,20,346,493,15.9,2023-2024
199,Bryant ,America East ,30,15,15,293,477,15.9,2023-2024
200,Iowa St. ,Big 12 ,33,21,12,380,524,15.88,2023-2024
201,UNI ,MVC ,32,16,16,365,508,15.88,2023-2024
202,North Ala. ,ASUN ,30,12,18,335,476,15.87,2023-2024
202,Saint Peter's ,MAAC ,30,7,23,329,476,15.87,2023-2024
204,Western Ky. ,CUSA ,32,15,17,352,507,15.84,2023-2024
205,Cal Poly ,Big West ,31,17,14,366,491,15.84,2023-2024
206,Kansas St. ,Big 12 ,34,26,8,369,537,15.79,2023-2024
207,Central Mich. ,MAC ,28,6,22,283,442,15.79,2023-2024
208,Temple ,AAC ,32,20,12,358,505,15.78,2023-2024
209,American ,Patriot ,30,10,20,325,473,15.77,2023-2024
210,Seattle U ,WAC ,29,6,23,325,457,15.76,2023-2024
211,UNC Greensboro ,SoCon ,33,21,12,338,520,15.76,2023-2024
