Rank StPG,Team,Conference,Games,Wins,Losses,Steals,Steals Per Game,Season
40,Nevada ,Mountain West ,32,16,16,323,10.1,2023-2024
41,Mississippi Val. ,SWAC ,31,4,27,311,10,2023-2024
42,Ga. Southern ,Sun Belt ,33,15,18,331,10,2023-2024
43,Ark.-Pine Bluff ,SWAC ,33,17,16,330,10,2023-2024
44,SFA ,WAC ,34,22,12,338,9.9,2023-2024
45,Tennessee St. ,OVC ,30,11,19,298,9.9,2023-2024
46,Tennessee Tech ,OVC ,31,16,15,307,9.9,2023-2024
47,California Baptist ,WAC ,32,28,4,312,9.8,2023-2024
48,DePaul ,Big East ,32,12,20,311,9.7,2023-2024
49,Fordham ,Atlantic 10 ,29,12,17,281,9.7,2023-2024
50,Wagner ,NEC ,28,7,21,271,9.7,2023-2024
51,FGCU ,ASUN ,34,29,5,329,9.7,2023-2024
52,Saint Louis ,Atlantic 10 ,40,22,18,381,9.5,2023-2024
53,New Hampshire ,America East ,29,9,20,276,9.5,2023-2024
54,Georgia St. ,Sun Belt ,30,15,15,284,9.5,2023-2024
55,Troy ,Sun Belt ,34,22,12,318,9.4,2023-2024
56,Temple ,AAC ,32,20,12,299,9.3,2023-2024
57,Cleveland St. ,Horizon ,35,29,6,327,9.3,2023-2024
58,Montana St. ,Big Sky ,33,17,16,308,9.3,2023-2024
59,Saint Peter's ,MAAC ,30,7,23,278,9.3,2023-2024
60,Syracuse ,ACC ,32,24,8,296,9.3,2023-2024
61,Michigan St. ,Big Ten ,31,22,9,286,9.2,2023-2024
61,N.C. Central ,MEAC ,31,16,15,286,9.2,2023-2024
63,Southeast Mo. St. ,OVC ,29,9,20,267,9.2,2023-2024
64,Baylor ,Big 12 ,34,26,8,313,9.2,2023-2024
64,Sacred Heart ,NEC ,34,24,10,313,9.2,2023-2024
66,Cal Poly ,Big West ,31,17,14,285,9.2,2023-2024
66,George Mason ,Atlantic 10 ,31,23,8,285,9.2,2023-2024
68,Florida ,SEC ,32,16,16,294,9.2,2023-2024
69,Fairfield ,MAAC ,33,31,2,303,9.2,2023-2024
70,Hampton ,CAA ,29,3,26,266,9.2,2023-2024
71,Penn St. ,Big Ten ,35,22,13,321,9.2,2023-2024
72,Winthrop ,Big South ,30,14,16,275,9.2,2023-2024
73,New Orleans ,Southland ,30,11,19,273,9.1,2023-2024
74,App State ,Sun Belt ,32,17,15,291,9.1,2023-2024
75,Valparaiso ,MVC ,30,5,25,272,9.1,2023-2024
76,Howard ,MEAC ,31,15,16,281,9.1,2023-2024
77,Nicholls ,Southland ,32,14,18,290,9.1,2023-2024
78,Drake ,MVC ,35,29,6,311,8.9,2023-2024
78,Eastern Wash. ,Big Sky ,35,29,6,311,8.9,2023-2024
80,Fresno St. ,Mountain West ,33,15,18,293,8.9,2023-2024
81,CSUN ,Big West ,30,3,27,265,8.8,2023-2024
82,Florida A&M ,SWAC ,30,9,21,264,8.8,2023-2024
82,Morehead St. ,OVC ,30,15,15,264,8.8,2023-2024
84,UIC ,MVC ,34,18,16,299,8.8,2023-2024
85,Army West Point ,Patriot ,29,12,17,255,8.8,2023-2024
86,Texas ,Big 12 ,38,33,5,334,8.8,2023-2024
87,Miami FL,ACC ,31,19,12,272,8.8,2023-2024
88,La Salle ,Atlantic 10 ,30,8,22,263,8.8,2023-2024
89,Purdue Fort Wayne ,Horizon ,36,23,13,315,8.8,2023-2024
90,Charlotte ,AAC ,31,16,15,271,8.7,2023-2024
91,South Carolina ,SEC ,38,38,0,332,8.7,2023-2024
92,Jacksonville ,ASUN ,31,11,20,270,8.7,2023-2024
93,Oklahoma ,Big 12 ,33,23,10,287,8.7,2023-2024
94,Western Mich. ,MAC ,30,12,18,260,8.7,2023-2024
95,Seton Hall ,Big East ,32,17,15,277,8.7,2023-2024
96,Kansas St. ,Big 12 ,34,26,8,294,8.6,2023-2024
97,Mount St. Mary's ,MAAC ,31,14,17,267,8.6,2023-2024
98,FIU ,CUSA ,33,21,12,284,8.6,2023-2024
99,William & Mary ,CAA ,29,15,14,249,8.6,2023-2024
100,Navy ,Patriot ,31,14,17,266,8.6,2023-2024
101,Texas St. ,Sun Belt ,32,14,18,274,8.6,2023-2024
102,UMES ,MEAC ,30,15,15,256,8.5,2023-2024
103,Texas A&M ,SEC ,32,19,13,273,8.5,2023-2024
104,Eastern Ky. ,ASUN ,34,22,12,289,8.5,2023-2024
105,Miami OH,MAC ,29,9,20,246,8.5,2023-2024
105,Seattle U ,WAC ,29,6,23,246,8.5,2023-2024
107,San Jose St. ,Mountain West ,31,7,24,261,8.4,2023-2024
108,Sam Houston ,CUSA ,29,7,22,244,8.4,2023-2024
109,Alabama ,SEC ,34,24,10,286,8.4,2023-2024
109,Duke ,ACC ,34,22,12,286,8.4,2023-2024
111,Brown ,Ivy League ,27,16,11,227,8.4,2023-2024
112,Kennesaw St. ,ASUN ,30,11,19,252,8.4,2023-2024
113,Lamar University ,Southland ,31,24,7,260,8.4,2023-2024
114,Murray St. ,MVC ,32,20,12,268,8.4,2023-2024
115,Louisville ,ACC ,34,24,10,284,8.4,2023-2024
116,Missouri St. ,MVC ,33,23,10,275,8.3,2023-2024
117,Saint Mary's CA,WCC ,31,13,18,258,8.3,2023-2024
118,American ,Patriot ,30,10,20,248,8.3,2023-2024
119,ULM ,Sun Belt ,35,21,14,288,8.2,2023-2024
120,Indiana St. ,MVC ,32,11,21,263,8.2,2023-2024
121,Eastern Mich. ,MAC ,29,7,22,238,8.2,2023-2024
122,Rice ,AAC ,34,19,15,279,8.2,2023-2024
123,SMU ,AAC ,30,14,16,245,8.2,2023-2024
124,Cal St. Fullerton ,Big West ,31,10,21,253,8.2,2023-2024
125,UT Martin ,OVC ,33,16,17,268,8.1,2023-2024
126,Delaware St. ,MEAC ,28,8,20,227,8.1,2023-2024
127,VCU ,Atlantic 10 ,32,26,6,259,8.1,2023-2024
128,Virginia ,ACC ,32,16,16,258,8.1,2023-2024
128,Wake Forest ,ACC ,32,7,25,258,8.1,2023-2024
130,Utah ,Pac-12 ,34,23,11,274,8.1,2023-2024
131,Belmont ,MVC ,35,26,9,282,8.1,2023-2024
132,Alabama A&M ,SWAC ,31,15,16,249,8,2023-2024
132,Southeastern La. ,Southland ,31,19,12,249,8,2023-2024
134,Elon ,CAA ,32,11,21,257,8,2023-2024
135,Southern California ,Pac-12 ,35,29,6,280,8,2023-2024
