Rank BPPG,Team,Conference,Games,wins,losses,Bench,Average,Season
253,Hampton ,CAA ,29,3,26,420,14.5,2023-2024
254,Drake ,MVC ,35,29,6,506,14.5,2023-2024
255,Colorado St. ,Mountain West ,31,20,11,446,14.4,2023-2024
256,Liberty ,CUSA ,34,18,16,489,14.4,2023-2024
257,UTRGV ,WAC ,29,6,23,411,14.2,2023-2024
258,Xavier ,Big East ,28,1,27,396,14.1,2023-2024
259,Alabama ,SEC ,34,24,10,480,14.1,2023-2024
260,Youngstown St. ,Horizon ,32,14,18,451,14.1,2023-2024
261,Rider ,MAAC ,31,10,21,435,14,2023-2024
262,Weber St. ,Big Sky ,33,8,25,462,14,2023-2024
262,Iona ,MAAC ,30,11,19,420,14,2023-2024
264,Virginia Tech ,ACC ,33,25,8,460,13.9,2023-2024
265,Saint Peter's ,MAAC ,30,7,23,417,13.9,2023-2024
265,Siena ,MAAC ,30,18,12,417,13.9,2023-2024
267,Colgate ,Patriot ,34,20,14,471,13.9,2023-2024
268,North Carolina ,ACC ,33,20,13,457,13.8,2023-2024
269,Idaho ,Big Sky ,31,15,16,428,13.8,2023-2024
270,SMU ,AAC ,30,14,16,414,13.8,2023-2024
271,Massachusetts ,Atlantic 10 ,32,5,27,439,13.7,2023-2024
272,Belmont ,MVC ,35,26,9,480,13.7,2023-2024
273,Winthrop ,Big South ,30,14,16,411,13.7,2023-2024
274,Marist ,MAAC ,31,6,25,421,13.6,2023-2024
275,Villanova ,Big East ,35,22,13,475,13.6,2023-2024
276,N.C. A&T ,CAA ,34,22,12,460,13.5,2023-2024
277,UConn ,Big East ,39,33,6,527,13.5,2023-2024
278,Gonzaga ,WCC ,36,32,4,486,13.5,2023-2024
279,UAlbany ,America East ,32,25,7,430,13.4,2023-2024
280,Washington ,Pac-12 ,31,16,15,415,13.4,2023-2024
281,Penn ,Ivy League ,28,15,13,374,13.4,2023-2024
282,Tulsa ,AAC ,35,25,10,466,13.3,2023-2024
283,LSU ,SEC ,37,31,6,489,13.2,2023-2024
284,Quinnipiac ,MAAC ,31,13,18,409,13.2,2023-2024
285,Rhode Island ,Atlantic 10 ,35,21,14,461,13.2,2023-2024
286,Alcorn ,SWAC ,32,12,20,421,13.2,2023-2024
287,Loyola Maryland ,Patriot ,31,16,15,406,13.1,2023-2024
288,Illinois ,Big Ten ,34,19,15,445,13.1,2023-2024
288,Southern Miss. ,Sun Belt ,34,20,14,445,13.1,2023-2024
