Rank FGPCTDef,Team,Conference,Games,Wins,Losses,Opponent FGM,Opponent FGA,Opponent FG %,Season
85,Cleveland St. ,Horizon ,35,29,6,786,"2,037",38.6,2023-2024
86,East Carolina ,AAC ,33,19,14,738,"1,911",38.6,2023-2024
87,Green Bay ,Horizon ,34,27,7,718,"1,859",38.6,2023-2024
88,Charlotte ,AAC ,31,16,15,704,"1,822",38.6,2023-2024
89,Lipscomb ,ASUN ,30,17,13,732,"1,894",38.6,2023-2024
90,Buffalo ,MAC ,33,19,14,760,"1,965",38.7,2023-2024
91,Austin Peay ,ASUN ,33,17,16,701,"1,811",38.7,2023-2024
92,Western Ill. ,OVC ,30,18,12,712,"1,836",38.8,2023-2024
93,High Point ,Big South ,32,20,12,730,"1,882",38.8,2023-2024
94,Southern California ,Pac-12 ,35,29,6,795,"2,049",38.8,2023-2024
95,George Washington ,Atlantic 10 ,31,13,18,642,"1,654",38.8,2023-2024
96,Montana St. ,Big Sky ,33,17,16,685,"1,764",38.8,2023-2024
97,NIU ,MAC ,31,15,16,763,"1,962",38.9,2023-2024
98,Col. of Charleston ,CAA ,32,22,10,732,"1,880",38.9,2023-2024
99,Iowa St. ,Big 12 ,33,21,12,833,"2,139",38.9,2023-2024
100,Youngstown St. ,Horizon ,32,14,18,714,"1,832",39,2023-2024
101,Duquesne ,Atlantic 10 ,34,21,13,809,"2,075",39,2023-2024
102,Louisiana ,Sun Belt ,31,17,14,642,"1,645",39,2023-2024
103,Kent St. ,MAC ,32,21,11,726,"1,860",39,2023-2024
104,UC Irvine ,Big West ,32,23,9,641,"1,642",39,2023-2024
105,Oklahoma ,Big 12 ,33,23,10,829,"2,120",39.1,2023-2024
106,Georgia ,SEC ,30,12,18,725,"1,853",39.1,2023-2024
107,BYU ,Big 12 ,33,16,17,770,"1,968",39.1,2023-2024
108,Alabama ,SEC ,34,24,10,792,"2,024",39.1,2023-2024
109,Presbyterian ,Big South ,36,21,15,804,"2,054",39.1,2023-2024
110,Elon ,CAA ,32,11,21,700,"1,787",39.2,2023-2024
111,USC Upstate ,Big South ,32,16,16,715,"1,825",39.2,2023-2024
