Rank TOFrcPG,Team,Conference,Games,Wins,Losses,Opponents Turnovers,Average,Season
304,UNLV ,Mountain West ,33,30,3,444,13.45,2023-2024
306,Weber St. ,Big Sky ,33,8,25,443,13.42,2023-2024
307,Canisius ,MAAC ,31,17,14,416,13.42,2023-2024
308,Western Caro. ,SoCon ,30,6,24,402,13.4,2023-2024
309,South Fla. ,AAC ,33,19,14,442,13.39,2023-2024
310,Portland St. ,Big Sky ,31,8,23,415,13.39,2023-2024
311,FDU ,NEC ,31,14,17,413,13.32,2023-2024
312,Washington St. ,Pac-12 ,36,21,15,479,13.31,2023-2024
313,Colorado St. ,Mountain West ,31,20,11,410,13.23,2023-2024
314,South Dakota ,Summit League ,36,23,13,475,13.19,2023-2024
315,Campbell ,CAA ,31,17,14,409,13.19,2023-2024
316,NC State ,ACC ,38,31,7,501,13.18,2023-2024
317,Central Mich. ,MAC ,28,6,22,368,13.14,2023-2024
318,Bowling Green ,MAC ,31,16,15,407,13.13,2023-2024
319,Lafayette ,Patriot ,30,10,20,393,13.1,2023-2024
320,Chattanooga ,SoCon ,33,28,5,432,13.09,2023-2024
321,Denver ,Summit League ,30,8,22,392,13.07,2023-2024
322,Utah St. ,Mountain West ,30,5,25,391,13.03,2023-2024
323,Bucknell ,Patriot ,31,13,18,402,12.97,2023-2024
324,Illinois St. ,MVC ,34,22,12,440,12.94,2023-2024
325,South Dakota St. ,Summit League ,33,27,6,427,12.94,2023-2024
326,Butler ,Big East ,32,15,17,414,12.94,2023-2024
327,UC Santa Barbara ,Big West ,31,16,15,401,12.94,2023-2024
328,Vermont ,America East ,37,25,12,473,12.78,2023-2024
329,Saint Francis PA,NEC ,30,5,25,383,12.77,2023-2024
330,Monmouth ,CAA ,32,22,10,406,12.69,2023-2024
331,Northwestern ,Big Ten ,30,9,21,377,12.57,2023-2024
332,NIU ,MAC ,31,15,16,389,12.55,2023-2024
333,Bradley ,MVC ,32,6,26,400,12.5,2023-2024
333,Creighton ,Big East ,32,26,6,400,12.5,2023-2024
333,Dartmouth ,Ivy League ,26,7,19,325,12.5,2023-2024
336,BYU ,Big 12 ,33,16,17,404,12.24,2023-2024
337,James Madison ,Sun Belt ,35,23,12,428,12.23,2023-2024
338,Holy Cross ,Patriot ,34,21,13,415,12.21,2023-2024
339,TCU ,Big 12 ,33,21,12,397,12.03,2023-2024
340,Montana ,Big Sky ,33,23,10,395,11.97,2023-2024
341,Tennessee ,SEC ,33,20,13,385,11.67,2023-2024
342,Virginia Tech ,ACC ,33,25,8,384,11.64,2023-2024
343,Wyoming ,Mountain West ,33,18,15,378,11.45,2023-2024
344,Southern Utah ,WAC ,30,8,22,342,11.4,2023-2024
345,Stanford ,Pac-12 ,36,30,6,409,11.36,2023-2024
346,Liberty ,CUSA ,34,18,16,383,11.26,2023-2024
347,Iowa St. ,Big 12 ,33,21,12,354,10.73,2023-2024
348,Oregon ,Pac-12 ,32,11,21,330,10.31,2023-2024
349,Oregon St. ,Pac-12 ,35,27,8,315,9,2023-2024
