Rank 3ptPct,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goal Attempts,3 pt Field Goal Percent,Season
122,Saint Louis ,Atlantic 10 ,40,22,18,227,707,32.1,2023-2024
123,Tennessee ,SEC ,33,20,13,223,695,32.1,2023-2024
124,UCLA ,Pac-12 ,34,27,7,238,743,32,2023-2024
125,USC Upstate ,Big South ,32,16,16,172,537,32,2023-2024
126,Vanderbilt ,SEC ,33,23,10,212,662,32,2023-2024
127,Siena ,MAAC ,30,18,12,210,656,32,2023-2024
128,Providence ,Big East ,34,13,21,159,497,32,2023-2024
129,California ,Pac-12 ,34,19,15,282,882,32,2023-2024
130,ULM ,Sun Belt ,35,21,14,265,829,32,2023-2024
131,Bryant ,America East ,30,15,15,184,576,31.9,2023-2024
132,Monmouth ,CAA ,32,22,10,206,645,31.9,2023-2024
133,Texas Tech ,Big 12 ,33,17,16,220,689,31.9,2023-2024
134,Murray St. ,MVC ,32,20,12,251,787,31.9,2023-2024
135,Louisiana Tech ,CUSA ,33,14,19,199,624,31.9,2023-2024
136,LMU CA,WCC ,30,11,19,192,603,31.8,2023-2024
136,San Diego St. ,Mountain West ,35,22,13,192,603,31.8,2023-2024
138,Clemson ,ACC ,31,12,19,213,669,31.8,2023-2024
139,Norfolk St. ,MEAC ,33,27,6,184,578,31.8,2023-2024
140,Tulane ,AAC ,32,12,20,231,726,31.8,2023-2024
141,Washington ,Pac-12 ,31,16,15,208,654,31.8,2023-2024
142,Minnesota ,Big Ten ,36,20,16,241,758,31.8,2023-2024
143,UT Arlington ,WAC ,33,17,16,177,557,31.8,2023-2024
144,Kent St. ,MAC ,32,21,11,215,677,31.8,2023-2024
145,Duke ,ACC ,34,22,12,193,608,31.7,2023-2024
146,Hawaii ,Big West ,31,20,11,225,709,31.7,2023-2024
147,Harvard ,Ivy League ,28,16,12,185,584,31.7,2023-2024
148,Valparaiso ,MVC ,30,5,25,230,727,31.6,2023-2024
149,UTEP ,CUSA ,31,12,19,141,446,31.6,2023-2024
150,Eastern Ky. ,ASUN ,34,22,12,189,598,31.6,2023-2024
151,Rice ,AAC ,34,19,15,201,637,31.6,2023-2024
152,Bradley ,MVC ,32,6,26,185,587,31.5,2023-2024
153,FGCU ,ASUN ,34,29,5,323,"1,025",31.5,2023-2024
154,Arizona ,Pac-12 ,34,18,16,148,470,31.5,2023-2024
155,Florida St. ,ACC ,34,23,11,241,766,31.5,2023-2024
156,Vermont ,America East ,37,25,12,184,585,31.5,2023-2024
157,Kansas St. ,Big 12 ,34,26,8,218,694,31.4,2023-2024
158,Charlotte ,AAC ,31,16,15,162,516,31.4,2023-2024
159,Seton Hall ,Big East ,32,17,15,179,572,31.3,2023-2024
160,Oklahoma ,Big 12 ,33,23,10,263,841,31.3,2023-2024
161,Buffalo ,MAC ,33,19,14,187,598,31.3,2023-2024
162,FDU ,NEC ,31,14,17,223,714,31.2,2023-2024
163,Lipscomb ,ASUN ,30,17,13,218,699,31.2,2023-2024
164,Lehigh ,Patriot ,30,17,13,245,786,31.2,2023-2024
165,Central Ark. ,ASUN ,33,21,12,204,655,31.1,2023-2024
166,Virginia ,ACC ,32,16,16,218,700,31.1,2023-2024
167,Wofford ,SoCon ,30,17,13,233,750,31.1,2023-2024
168,Air Force ,Mountain West ,32,15,17,205,660,31.1,2023-2024
169,Rider ,MAAC ,31,10,21,172,556,30.9,2023-2024
170,NIU ,MAC ,31,15,16,210,679,30.9,2023-2024
171,ETSU ,SoCon ,30,18,12,182,589,30.9,2023-2024
172,Fordham ,Atlantic 10 ,29,12,17,156,505,30.9,2023-2024
173,George Washington ,Atlantic 10 ,31,13,18,213,690,30.9,2023-2024
174,Southern U. ,SWAC ,30,15,15,125,405,30.9,2023-2024
