Rank RbDfPG,Team,Conference,Games,Defensive Rebounds,Defensive Rebounds Per Game,Season
117,Wisconsin ,Big Ten ,32,829,25.9,2023-2024
118,McNeese ,Southland ,31,803,25.9,2023-2024
119,CSUN ,Big West ,30,776,25.9,2023-2024
120,Houston Christian ,Southland ,29,749,25.8,2023-2024
121,Charlotte ,AAC ,31,799,25.8,2023-2024
121,Hawaii ,Big West ,31,799,25.8,2023-2024
123,Eastern Wash. ,Big Sky ,35,902,25.8,2023-2024
124,Southern Utah ,WAC ,30,772,25.7,2023-2024
125,Texas ,Big 12 ,38,977,25.7,2023-2024
126,Colorado ,Pac-12 ,34,874,25.7,2023-2024
127,Samford ,SoCon ,30,771,25.7,2023-2024
128,UAB ,AAC ,32,822,25.7,2023-2024
129,Presbyterian ,Big South ,36,923,25.6,2023-2024
130,Bryant ,America East ,30,769,25.6,2023-2024
130,Georgia St. ,Sun Belt ,30,769,25.6,2023-2024
132,DePaul ,Big East ,32,820,25.6,2023-2024
133,Alabama ,SEC ,34,871,25.6,2023-2024
134,New Orleans ,Southland ,30,768,25.6,2023-2024
135,William & Mary ,CAA ,29,742,25.6,2023-2024
136,Gonzaga ,WCC ,36,921,25.6,2023-2024
137,Jacksonville St. ,CUSA ,29,741,25.6,2023-2024
138,San Francisco ,WCC ,30,766,25.5,2023-2024
139,Pittsburgh ,ACC ,32,817,25.5,2023-2024
140,UIC ,MVC ,34,868,25.5,2023-2024
141,Fairfield ,MAAC ,33,841,25.5,2023-2024
142,Pacific ,WCC ,34,866,25.5,2023-2024
143,Columbia ,Ivy League ,30,764,25.5,2023-2024
143,IU Indy ,Horizon ,30,764,25.5,2023-2024
145,Kansas ,Big 12 ,33,840,25.5,2023-2024
146,Wichita St. ,AAC ,32,813,25.4,2023-2024
147,Wright St. ,Horizon ,33,838,25.4,2023-2024
148,Penn ,Ivy League ,28,711,25.4,2023-2024
149,Washington ,Pac-12 ,31,787,25.4,2023-2024
150,Saint Joseph's ,Atlantic 10 ,34,863,25.4,2023-2024
151,Austin Peay ,ASUN ,33,837,25.4,2023-2024
152,Navy ,Patriot ,31,786,25.4,2023-2024
153,App State ,Sun Belt ,32,811,25.3,2023-2024
154,Northern Colo. ,Big Sky ,31,785,25.3,2023-2024
154,Northern Ky. ,Horizon ,31,785,25.3,2023-2024
156,Oral Roberts ,Summit League ,32,809,25.3,2023-2024
157,Fla. Atlantic ,AAC ,30,758,25.3,2023-2024
158,Rice ,AAC ,34,858,25.2,2023-2024
159,Arkansas St. ,Sun Belt ,30,757,25.2,2023-2024
159,North Ala. ,ASUN ,30,757,25.2,2023-2024
159,UIW ,Southland ,30,757,25.2,2023-2024
162,UNC Asheville ,Big South ,31,782,25.2,2023-2024
163,George Washington ,Atlantic 10 ,31,781,25.2,2023-2024
164,Cincinnati ,Big 12 ,32,805,25.2,2023-2024
