Rank BPG,Team,Conference,Games,Wins,Losses,Blocks,BlocksPerGame,Season
245,UCF ,Big 12 ,29,12,17,73,2.5,2023-2024
246,Texas Tech ,Big 12 ,33,17,16,82,2.5,2023-2024
246,Maryland ,Big Ten ,33,19,14,82,2.5,2023-2024
248,Southeast Mo. St. ,OVC ,29,9,20,72,2.5,2023-2024
249,Seton Hall ,Big East ,32,17,15,79,2.5,2023-2024
250,Fla. Atlantic ,AAC ,30,11,19,74,2.5,2023-2024
250,UMES ,MEAC ,30,15,15,74,2.5,2023-2024
250,ETSU ,SoCon ,30,18,12,74,2.5,2023-2024
253,Jacksonville St. ,CUSA ,29,12,17,71,2.4,2023-2024
253,Sam Houston ,CUSA ,29,7,22,71,2.4,2023-2024
255,Wofford ,SoCon ,30,17,13,73,2.4,2023-2024
256,Louisiana Tech ,CUSA ,33,14,19,80,2.4,2023-2024
257,Bethune-Cookman ,SWAC ,31,15,16,75,2.4,2023-2024
258,Utah ,Pac-12 ,34,23,11,82,2.4,2023-2024
259,UIW ,Southland ,30,19,11,72,2.4,2023-2024
260,George Washington ,Atlantic 10 ,31,13,18,74,2.4,2023-2024
261,Butler ,Big East ,32,15,17,76,2.4,2023-2024
262,Winthrop ,Big South ,30,14,16,71,2.4,2023-2024
262,Denver ,Summit League ,30,8,22,71,2.4,2023-2024
262,Southern U. ,SWAC ,30,15,15,71,2.4,2023-2024
262,San Francisco ,WCC ,30,14,16,71,2.4,2023-2024
266,Arizona St. ,Pac-12 ,31,11,20,73,2.4,2023-2024
267,Colgate ,Patriot ,34,20,14,80,2.4,2023-2024
268,Evansville ,MVC ,32,4,28,75,2.3,2023-2024
268,Texas St. ,Sun Belt ,32,14,18,75,2.3,2023-2024
270,Central Conn. St. ,NEC ,30,9,21,70,2.3,2023-2024
271,Sacred Heart ,NEC ,34,24,10,79,2.3,2023-2024
272,Weber St. ,Big Sky ,33,8,25,76,2.3,2023-2024
272,UNLV ,Mountain West ,33,30,3,76,2.3,2023-2024
274,Western Caro. ,SoCon ,30,6,24,69,2.3,2023-2024
274,Florida A&M ,SWAC ,30,9,21,69,2.3,2023-2024
276,Grand Canyon ,WAC ,32,24,8,73,2.3,2023-2024
277,Army West Point ,Patriot ,29,12,17,66,2.3,2023-2024
278,Fresno St. ,Mountain West ,33,15,18,75,2.3,2023-2024
278,St. John's NY,Big East ,33,18,15,75,2.3,2023-2024
280,Columbia ,Ivy League ,30,23,7,68,2.3,2023-2024
280,Coppin St. ,MEAC ,30,12,18,68,2.3,2023-2024
282,Drexel ,CAA ,34,19,15,77,2.3,2023-2024
283,New Hampshire ,America East ,29,9,20,65,2.2,2023-2024
284,North Dakota ,Summit League ,30,9,21,67,2.2,2023-2024
284,Arkansas St. ,Sun Belt ,30,13,17,67,2.2,2023-2024
286,Quinnipiac ,MAAC ,31,13,18,69,2.2,2023-2024
287,Wichita St. ,AAC ,32,10,22,71,2.2,2023-2024
287,Air Force ,Mountain West ,32,15,17,71,2.2,2023-2024
289,Michigan ,Big Ten ,34,20,14,75,2.2,2023-2024
290,Grambling ,SWAC ,33,23,10,72,2.2,2023-2024
291,Delaware St. ,MEAC ,28,8,20,61,2.2,2023-2024
