Rank FTMPG,Team,Conference,Games,Wins,Losses,Free Throws Made,Free Throws Attempted,Avg,Season
119,Alabama A&M ,SWAC ,31,15,16,385,559,12.42,2023-2024
120,Richmond ,Atlantic 10 ,35,29,6,434,539,12.4,2023-2024
121,Long Beach St. ,Big West ,33,15,18,409,591,12.39,2023-2024
122,Pacific ,WCC ,34,19,15,421,552,12.38,2023-2024
123,Utah St. ,Mountain West ,30,5,25,371,522,12.37,2023-2024
124,Boston College ,ACC ,33,14,19,407,597,12.33,2023-2024
125,Indiana ,Big Ten ,32,26,6,394,536,12.31,2023-2024
126,Portland ,WCC ,34,21,13,418,602,12.29,2023-2024
127,Southern U. ,SWAC ,30,15,15,368,563,12.27,2023-2024
127,UNCW ,CAA ,30,5,25,368,502,12.27,2023-2024
129,Purdue ,Big Ten ,34,15,19,417,529,12.26,2023-2024
130,San Diego ,WCC ,31,9,22,380,538,12.26,2023-2024
131,Kentucky ,SEC ,32,12,20,392,618,12.25,2023-2024
132,Austin Peay ,ASUN ,33,17,16,404,585,12.24,2023-2024
133,Florida A&M ,SWAC ,30,9,21,367,503,12.23,2023-2024
133,Morehead St. ,OVC ,30,15,15,367,575,12.23,2023-2024
135,Southern Miss. ,Sun Belt ,34,20,14,415,553,12.21,2023-2024
136,Tennessee St. ,OVC ,30,11,19,366,533,12.2,2023-2024
137,North Carolina ,ACC ,33,20,13,400,606,12.12,2023-2024
138,Sacred Heart ,NEC ,34,24,10,412,600,12.12,2023-2024
139,Lipscomb ,ASUN ,30,17,13,363,532,12.1,2023-2024
139,San Francisco ,WCC ,30,14,16,363,526,12.1,2023-2024
141,Wisconsin ,Big Ten ,32,15,17,387,524,12.09,2023-2024
142,Chicago St. ,DI Independent ,27,1,26,326,448,12.07,2023-2024
143,Abilene Christian ,WAC ,30,14,16,362,504,12.07,2023-2024
144,Vanderbilt ,SEC ,33,23,10,398,560,12.06,2023-2024
145,Old Dominion ,Sun Belt ,32,22,10,385,605,12.03,2023-2024
145,UC Irvine ,Big West ,32,23,9,385,533,12.03,2023-2024
145,USC Upstate ,Big South ,32,16,16,385,533,12.03,2023-2024
148,Missouri St. ,MVC ,33,23,10,397,567,12.03,2023-2024
149,Gonzaga ,WCC ,36,32,4,433,542,12.03,2023-2024
150,Norfolk St. ,MEAC ,33,27,6,396,543,12,2023-2024
150,Tulsa ,AAC ,35,25,10,420,611,12,2023-2024
150,UMES ,MEAC ,30,15,15,360,528,12,2023-2024
153,Kent St. ,MAC ,32,21,11,383,532,11.97,2023-2024
154,Longwood ,Big South ,30,9,21,359,529,11.97,2023-2024
155,Columbia ,Ivy League ,30,23,7,358,502,11.93,2023-2024
156,Hawaii ,Big West ,31,20,11,369,498,11.9,2023-2024
156,Loyola Chicago ,Atlantic 10 ,31,15,16,369,501,11.9,2023-2024
158,Texas Southern ,SWAC ,29,7,22,345,497,11.9,2023-2024
159,Monmouth ,CAA ,32,22,10,380,527,11.88,2023-2024
160,Green Bay ,Horizon ,34,27,7,403,513,11.85,2023-2024
161,Arizona St. ,Pac-12 ,31,11,20,367,538,11.84,2023-2024
161,Bucknell ,Patriot ,31,13,18,367,497,11.84,2023-2024
161,Delaware ,CAA ,31,11,20,367,514,11.84,2023-2024
161,Towson ,CAA ,31,20,11,367,512,11.84,2023-2024
165,Kennesaw St. ,ASUN ,30,11,19,355,536,11.83,2023-2024
165,Ohio ,MAC ,30,11,19,355,515,11.83,2023-2024
167,Alcorn ,SWAC ,32,12,20,378,589,11.81,2023-2024
168,Cal Poly ,Big West ,31,17,14,366,491,11.81,2023-2024
169,High Point ,Big South ,32,20,12,377,529,11.78,2023-2024
169,Stetson ,ASUN ,32,17,15,377,576,11.78,2023-2024
171,Merrimack ,NEC ,31,12,19,365,512,11.77,2023-2024
172,Stanford ,Pac-12 ,36,30,6,423,546,11.75,2023-2024
173,Grand Canyon ,WAC ,32,24,8,375,518,11.72,2023-2024
174,N.C. Central ,MEAC ,31,16,15,363,574,11.71,2023-2024
175,Colorado ,Pac-12 ,34,24,10,396,549,11.65,2023-2024
176,Purdue Fort Wayne ,Horizon ,36,23,13,419,565,11.64,2023-2024
177,Valparaiso ,MVC ,30,5,25,349,496,11.63,2023-2024
178,South Carolina St. ,MEAC ,30,2,28,347,520,11.57,2023-2024
179,Iowa St. ,Big 12 ,33,21,12,380,524,11.52,2023-2024
180,UNLV ,Mountain West ,33,30,3,379,493,11.48,2023-2024
181,Bowling Green ,MAC ,31,16,15,356,506,11.48,2023-2024
182,Denver ,Summit League ,30,8,22,344,502,11.47,2023-2024
182,Winthrop ,Big South ,30,14,16,344,494,11.47,2023-2024
184,Colgate ,Patriot ,34,20,14,388,523,11.41,2023-2024
185,UNI ,MVC ,32,16,16,365,508,11.41,2023-2024
186,Memphis ,AAC ,30,13,17,342,548,11.4,2023-2024
187,Georgia Tech ,ACC ,33,17,16,376,535,11.39,2023-2024
188,UConn ,Big East ,39,33,6,444,597,11.38,2023-2024
189,Milwaukee ,Horizon ,32,16,16,364,462,11.38,2023-2024
190,Cornell ,Ivy League ,26,7,19,295,418,11.35,2023-2024
191,Eastern Ill. ,OVC ,33,15,18,374,516,11.33,2023-2024
191,Fla. Atlantic ,AAC ,30,11,19,340,538,11.33,2023-2024
191,Oklahoma ,Big 12 ,33,23,10,374,525,11.33,2023-2024
194,Wagner ,NEC ,28,7,21,317,465,11.32,2023-2024
195,Oregon ,Pac-12 ,32,11,21,360,531,11.25,2023-2024
196,Santa Clara ,WCC ,34,25,9,382,469,11.24,2023-2024
197,Seattle U ,WAC ,29,6,23,325,457,11.21,2023-2024
198,New Mexico St. ,CUSA ,31,13,18,347,500,11.19,2023-2024
199,New Mexico ,Mountain West ,32,21,11,358,510,11.19,2023-2024
199,Temple ,AAC ,32,20,12,358,505,11.19,2023-2024
201,Michigan ,Big Ten ,34,20,14,380,523,11.18,2023-2024
201,Providence ,Big East ,34,13,21,380,566,11.18,2023-2024
203,North Ala. ,ASUN ,30,12,18,335,476,11.17,2023-2024
203,Northwestern St. ,Southland ,30,11,19,335,517,11.17,2023-2024
205,UNC Asheville ,Big South ,31,11,20,346,493,11.16,2023-2024
206,South Fla. ,AAC ,33,19,14,368,489,11.15,2023-2024
207,Akron ,MAC ,29,11,18,323,449,11.14,2023-2024
