Rank ATR,Team,Conference,Games,wins,losses,Assist,Turnover,Ratio,Season
308,CSUN ,Big West ,30,3,27,325,538,0.6,2023-2024
309,Providence ,Big East ,34,13,21,392,654,0.6,2023-2024
310,UCF ,Big 12 ,29,12,17,320,537,0.6,2023-2024
311,Long Beach St. ,Big West ,33,15,18,398,668,0.6,2023-2024
312,Coppin St. ,MEAC ,30,12,18,292,492,0.59,2023-2024
313,UMBC ,America East ,29,10,19,286,483,0.59,2023-2024
314,North Dakota ,Summit League ,30,9,21,314,531,0.59,2023-2024
315,USC Upstate ,Big South ,32,16,16,357,606,0.59,2023-2024
316,Houston Christian ,Southland ,29,6,23,303,518,0.58,2023-2024
317,Saint Francis PA,NEC ,30,5,25,293,502,0.58,2023-2024
318,Northwestern St. ,Southland ,30,11,19,298,517,0.58,2023-2024
319,Charleston So. ,Big South ,30,11,19,342,597,0.57,2023-2024
320,Gardner-Webb ,Big South ,30,6,24,316,552,0.57,2023-2024
321,Mississippi Val. ,SWAC ,31,4,27,333,582,0.57,2023-2024
322,Coastal Carolina ,Sun Belt ,33,12,21,362,635,0.57,2023-2024
323,Cincinnati ,Big 12 ,32,14,18,295,520,0.57,2023-2024
324,Stetson ,ASUN ,32,17,15,292,517,0.56,2023-2024
325,Detroit Mercy ,Horizon ,33,17,16,353,628,0.56,2023-2024
326,Kennesaw St. ,ASUN ,30,11,19,296,529,0.56,2023-2024
327,South Alabama ,Sun Belt ,32,9,23,343,614,0.56,2023-2024
328,Central Mich. ,MAC ,28,6,22,325,586,0.55,2023-2024
329,Xavier ,Big East ,28,1,27,294,533,0.55,2023-2024
330,Longwood ,Big South ,30,9,21,302,548,0.55,2023-2024
331,St. Bonaventure ,Atlantic 10 ,30,4,26,271,492,0.55,2023-2024
332,Delaware St. ,MEAC ,28,8,20,287,523,0.55,2023-2024
333,Winthrop ,Big South ,30,14,16,310,574,0.54,2023-2024
334,Tennessee St. ,OVC ,30,11,19,299,558,0.54,2023-2024
335,Pepperdine ,WCC ,30,5,25,320,602,0.53,2023-2024
336,Eastern Mich. ,MAC ,29,7,22,287,542,0.53,2023-2024
337,Texas Southern ,SWAC ,29,7,22,310,589,0.53,2023-2024
338,Hampton ,CAA ,29,3,26,260,510,0.51,2023-2024
339,Chicago St. ,DI Independent ,27,1,26,290,569,0.51,2023-2024
340,Utah St. ,Mountain West ,30,5,25,268,536,0.5,2023-2024
341,UNCW ,CAA ,30,5,25,285,571,0.5,2023-2024
342,Morgan St. ,MEAC ,30,8,22,275,554,0.5,2023-2024
343,Florida A&M ,SWAC ,30,9,21,293,593,0.49,2023-2024
344,NJIT ,America East ,30,12,18,263,537,0.49,2023-2024
345,Saint Peter's ,MAAC ,30,7,23,320,664,0.48,2023-2024
346,Wagner ,NEC ,28,7,21,264,571,0.46,2023-2024
347,Alabama St. ,SWAC ,29,3,26,290,665,0.44,2023-2024
348,Jacksonville ,ASUN ,31,11,20,262,645,0.41,2023-2024
349,South Carolina St. ,MEAC ,30,2,28,243,667,0.36,2023-2024
