Rank ScrOf,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Season
183,Western Ky. ,CUSA ,32,15,17,"2,060",64.4,2023-2024
187,Denver ,Summit League ,30,8,22,"1,931",64.4,2023-2024
188,Nevada ,Mountain West ,32,16,16,"2,057",64.3,2023-2024
189,Fresno St. ,Mountain West ,33,15,18,"2,121",64.3,2023-2024
190,Chattanooga ,SoCon ,33,28,5,"2,120",64.2,2023-2024
190,South Fla. ,AAC ,33,19,14,"2,120",64.2,2023-2024
192,Washington ,Pac-12 ,31,16,15,"1,990",64.2,2023-2024
193,Indiana St. ,MVC ,32,11,21,"2,054",64.2,2023-2024
194,N.C. A&T ,CAA ,34,22,12,"2,182",64.2,2023-2024
195,Rhode Island ,Atlantic 10 ,35,21,14,"2,245",64.1,2023-2024
196,UCF ,Big 12 ,29,12,17,"1,860",64.1,2023-2024
197,Monmouth ,CAA ,32,22,10,"2,052",64.1,2023-2024
198,Maine ,America East ,34,24,10,"2,178",64.1,2023-2024
199,Wichita St. ,AAC ,32,10,22,"2,049",64,2023-2024
200,Boise St. ,Mountain West ,35,21,14,"2,241",64,2023-2024
201,Old Dominion ,Sun Belt ,32,22,10,"2,047",64,2023-2024
202,Ohio ,MAC ,30,11,19,"1,914",63.8,2023-2024
203,Wyoming ,Mountain West ,33,18,15,"2,104",63.8,2023-2024
204,Seattle U ,WAC ,29,6,23,"1,844",63.6,2023-2024
205,Southeastern La. ,Southland ,31,19,12,"1,970",63.5,2023-2024
206,North Florida ,ASUN ,30,9,21,"1,906",63.5,2023-2024
207,Dayton ,Atlantic 10 ,31,12,19,"1,967",63.5,2023-2024
208,UNC Greensboro ,SoCon ,33,21,12,"2,093",63.4,2023-2024
209,Prairie View ,SWAC ,29,11,18,"1,837",63.3,2023-2024
210,Air Force ,Mountain West ,32,15,17,"2,025",63.3,2023-2024
210,VCU ,Atlantic 10 ,32,26,6,"2,025",63.3,2023-2024
212,UT Martin ,OVC ,33,16,17,"2,086",63.2,2023-2024
213,William & Mary ,CAA ,29,15,14,"1,833",63.2,2023-2024
214,Georgia ,SEC ,30,12,18,"1,895",63.2,2023-2024
215,Brown ,Ivy League ,27,16,11,"1,704",63.1,2023-2024
216,UC Irvine ,Big West ,32,23,9,"2,015",63,2023-2024
217,Holy Cross ,Patriot ,34,21,13,"2,139",62.9,2023-2024
218,Nicholls ,Southland ,32,14,18,"2,013",62.9,2023-2024
