Rank 3ptPG,Team,Conference,Games,Wins,Losses,3pt Field Goals,3pt Field Goals per Game,Season
168,Holy Cross ,Patriot ,34,21,13,202,5.9,2023-2024
168,Saint Joseph's ,Atlantic 10 ,34,28,6,202,5.9,2023-2024
170,UT Martin ,OVC ,33,16,17,196,5.9,2023-2024
171,Wisconsin ,Big Ten ,32,15,17,190,5.9,2023-2024
172,Saint Mary's CA,WCC ,31,13,18,184,5.9,2023-2024
173,Akron ,MAC ,29,11,18,172,5.9,2023-2024
174,Rice ,AAC ,34,19,15,201,5.9,2023-2024
175,Ark.-Pine Bluff ,SWAC ,33,17,16,194,5.9,2023-2024
176,Grand Canyon ,WAC ,32,24,8,188,5.9,2023-2024
177,Wyoming ,Mountain West ,33,18,15,193,5.8,2023-2024
178,Hofstra ,CAA ,32,11,21,186,5.8,2023-2024
179,Maryland ,Big Ten ,33,19,14,191,5.8,2023-2024
180,Bradley ,MVC ,32,6,26,185,5.8,2023-2024
181,Georgia Tech ,ACC ,33,17,16,190,5.8,2023-2024
182,Oral Roberts ,Summit League ,32,21,11,184,5.8,2023-2024
183,Merrimack ,NEC ,31,12,19,178,5.7,2023-2024
184,Utah Valley ,WAC ,29,10,19,166,5.7,2023-2024
185,South Alabama ,Sun Belt ,32,9,23,182,5.7,2023-2024
185,Temple ,AAC ,32,20,12,182,5.7,2023-2024
187,Duke ,ACC ,34,22,12,193,5.7,2023-2024
188,Saint Louis ,Atlantic 10 ,40,22,18,227,5.7,2023-2024
189,Buffalo ,MAC ,33,19,14,187,5.7,2023-2024
190,LIU ,NEC ,30,8,22,169,5.6,2023-2024
190,UIW ,Southland ,30,19,11,169,5.6,2023-2024
192,Niagara ,MAAC ,35,21,14,197,5.6,2023-2024
193,Eastern Ill. ,OVC ,33,15,18,185,5.6,2023-2024
194,Notre Dame ,ACC ,35,28,7,196,5.6,2023-2024
195,Seton Hall ,Big East ,32,17,15,179,5.6,2023-2024
196,Norfolk St. ,MEAC ,33,27,6,184,5.6,2023-2024
197,Eastern Ky. ,ASUN ,34,22,12,189,5.6,2023-2024
198,Rider ,MAAC ,31,10,21,172,5.5,2023-2024
199,Central Mich. ,MAC ,28,6,22,155,5.5,2023-2024
200,Texas St. ,Sun Belt ,32,14,18,177,5.5,2023-2024
200,VCU ,Atlantic 10 ,32,26,6,177,5.5,2023-2024
202,James Madison ,Sun Belt ,35,23,12,193,5.5,2023-2024
203,Old Dominion ,Sun Belt ,32,22,10,176,5.5,2023-2024
203,UAlbany ,America East ,32,25,7,176,5.5,2023-2024
203,Northwestern ,Big Ten ,30,9,21,165,5.5,2023-2024
203,St. Bonaventure ,Atlantic 10 ,30,4,26,165,5.5,2023-2024
207,San Diego St. ,Mountain West ,35,22,13,192,5.5,2023-2024
208,Coppin St. ,MEAC ,30,12,18,164,5.5,2023-2024
208,Memphis ,AAC ,30,13,17,164,5.5,2023-2024
210,Cleveland St. ,Horizon ,35,29,6,191,5.5,2023-2024
211,Radford ,Big South ,33,15,18,180,5.5,2023-2024
212,Kansas ,Big 12 ,33,20,13,179,5.4,2023-2024
213,Samford ,SoCon ,30,14,16,162,5.4,2023-2024
214,Fordham ,Atlantic 10 ,29,12,17,156,5.4,2023-2024
215,USC Upstate ,Big South ,32,16,16,172,5.4,2023-2024
216,UT Arlington ,WAC ,33,17,16,177,5.4,2023-2024
217,Presbyterian ,Big South ,36,21,15,193,5.4,2023-2024
218,Sacred Heart ,NEC ,34,24,10,182,5.4,2023-2024
219,Saint Peter's ,MAAC ,30,7,23,160,5.3,2023-2024
220,Illinois ,Big Ten ,34,19,15,181,5.3,2023-2024
221,Mercer ,SoCon ,32,15,17,170,5.3,2023-2024
222,Army West Point ,Patriot ,29,12,17,154,5.3,2023-2024
223,Jackson St. ,SWAC ,33,26,7,175,5.3,2023-2024
224,Cal Poly ,Big West ,31,17,14,164,5.3,2023-2024
225,Northwestern St. ,Southland ,30,11,19,158,5.3,2023-2024
