Rank APG,Team,Conference,Games,Wins,losses,Assist,AssistPerGame,Season
235,UT Martin ,OVC ,33,16,17,392,11.9,2023-2024
236,Wofford ,SoCon ,30,17,13,356,11.9,2023-2024
237,Sacramento St. ,Big Sky ,31,6,25,367,11.8,2023-2024
238,Southern U. ,SWAC ,30,15,15,355,11.8,2023-2024
238,UIW ,Southland ,30,19,11,355,11.8,2023-2024
240,Sacred Heart ,NEC ,34,24,10,402,11.8,2023-2024
241,Nevada ,Mountain West ,32,16,16,378,11.8,2023-2024
242,New Mexico ,Mountain West ,32,21,11,376,11.8,2023-2024
243,Austin Peay ,ASUN ,33,17,16,387,11.7,2023-2024
243,UNC Greensboro ,SoCon ,33,21,12,387,11.7,2023-2024
245,Texas St. ,Sun Belt ,32,14,18,375,11.7,2023-2024
246,UTRGV ,WAC ,29,6,23,339,11.7,2023-2024
247,High Point ,Big South ,32,20,12,374,11.7,2023-2024
248,La Salle ,Atlantic 10 ,30,8,22,350,11.7,2023-2024
249,St. John's ,NY  ,33,18,15,384,11.6,2023-2024
250,Lipscomb ,ASUN ,30,17,13,349,11.6,2023-2024
251,Brown ,Ivy League ,27,16,11,314,11.6,2023-2024
252,Indiana St. ,MVC ,32,11,21,372,11.6,2023-2024
253,Central Mich. ,MAC ,28,6,22,325,11.6,2023-2024
254,Kentucky ,SEC ,32,12,20,371,11.6,2023-2024
255,Miami ,OH  ,29,9,20,336,11.6,2023-2024
256,Towson ,CAA ,31,20,11,359,11.6,2023-2024
257,UMES ,MEAC ,30,15,15,347,11.6,2023-2024
258,Jacksonville St. ,CUSA ,29,12,17,335,11.6,2023-2024
259,Alcorn ,SWAC ,32,12,20,369,11.5,2023-2024
259,UC Riverside ,Big West ,32,18,14,369,11.5,2023-2024
261,Providence ,Big East ,34,13,21,392,11.5,2023-2024
262,Davidson ,Atlantic 10 ,26,18,8,298,11.5,2023-2024
263,UTEP ,CUSA ,31,12,19,355,11.5,2023-2024
264,Hofstra ,CAA ,32,11,21,365,11.4,2023-2024
265,Charleston So. ,Big South ,30,11,19,342,11.4,2023-2024
266,Sam Houston ,CUSA ,29,7,22,330,11.4,2023-2024
267,Valparaiso ,MVC ,30,5,25,341,11.4,2023-2024
268,Oakland ,Horizon ,29,12,17,329,11.3,2023-2024
268,Southeast Mo. St. ,OVC ,29,9,20,329,11.3,2023-2024
270,Fresno St. ,Mountain West ,33,15,18,374,11.3,2023-2024
270,Central Conn. St. ,NEC ,30,9,21,340,11.3,2023-2024
270,Lafayette ,Patriot ,30,10,20,340,11.3,2023-2024
273,New Mexico St. ,CUSA ,31,13,18,350,11.3,2023-2024
274,Little Rock ,OVC ,30,12,18,338,11.3,2023-2024
274,Ohio ,MAC ,30,11,19,338,11.3,2023-2024
276,Montana St. ,Big Sky ,33,17,16,371,11.2,2023-2024
277,Arkansas St. ,Sun Belt ,30,13,17,336,11.2,2023-2024
277,Idaho St. ,Big Sky ,30,11,19,336,11.2,2023-2024
279,Alabama A&M ,SWAC ,31,15,16,346,11.2,2023-2024
280,USC Upstate ,Big South ,32,16,16,357,11.2,2023-2024
281,Idaho ,Big Sky ,31,15,16,344,11.1,2023-2024
282,Elon ,CAA ,32,11,21,355,11.1,2023-2024
283,Merrimack ,NEC ,31,12,19,343,11.1,2023-2024
284,UCF ,Big 12 ,29,12,17,320,11,2023-2024
285,Bucknell ,Patriot ,31,13,18,342,11,2023-2024
285,Mount St. Mary's ,MAAC ,31,14,17,342,11,2023-2024
287,Memphis ,AAC ,30,13,17,330,11,2023-2024
288,Coastal Carolina ,Sun Belt ,33,12,21,362,11,2023-2024
289,Houston ,Big 12 ,30,14,16,328,10.9,2023-2024
290,Fla. Atlantic ,AAC ,30,11,19,327,10.9,2023-2024
291,Army West Point ,Patriot ,29,12,17,316,10.9,2023-2024
292,CSUN ,Big West ,30,3,27,325,10.8,2023-2024
293,Hawaii ,Big West ,31,20,11,335,10.8,2023-2024
294,Arkansas ,SEC ,33,18,15,356,10.8,2023-2024
294,Kansas ,Big 12 ,33,20,13,356,10.8,2023-2024
296,Mississippi Val. ,SWAC ,31,4,27,333,10.7,2023-2024
297,Chicago St. ,DI Independent ,27,1,26,290,10.7,2023-2024
298,Robert Morris ,Horizon ,30,6,24,322,10.7,2023-2024
299,UMass Lowell ,America East ,29,4,25,311,10.7,2023-2024
300,South Alabama ,Sun Belt ,32,9,23,343,10.7,2023-2024
301,Detroit Mercy ,Horizon ,33,17,16,353,10.7,2023-2024
302,Texas Southern ,SWAC ,29,7,22,310,10.7,2023-2024
303,Pepperdine ,WCC ,30,5,25,320,10.7,2023-2024
303,Saint Peter's ,MAAC ,30,7,23,320,10.7,2023-2024
305,Cornell ,Ivy League ,26,7,19,277,10.7,2023-2024
306,Radford ,Big South ,33,15,18,351,10.6,2023-2024
307,Samford ,SoCon ,30,14,16,318,10.6,2023-2024
308,VCU ,Atlantic 10 ,32,26,6,338,10.6,2023-2024
309,Gardner-Webb ,Big South ,30,6,24,316,10.5,2023-2024
310,Howard ,MEAC ,31,15,16,326,10.5,2023-2024
311,Xavier ,Big East ,28,1,27,294,10.5,2023-2024
312,Weber St. ,Big Sky ,33,8,25,346,10.5,2023-2024
313,North Dakota ,Summit League ,30,9,21,314,10.5,2023-2024
314,Houston Christian ,Southland ,29,6,23,303,10.4,2023-2024
315,CSU Bakersfield ,Big West ,29,8,21,302,10.4,2023-2024
316,Dartmouth ,Ivy League ,26,7,19,270,10.4,2023-2024
317,New Orleans ,Southland ,30,11,19,311,10.4,2023-2024
318,New Hampshire ,America East ,29,9,20,300,10.3,2023-2024
319,Winthrop ,Big South ,30,14,16,310,10.3,2023-2024
320,George Washington ,Atlantic 10 ,31,13,18,320,10.3,2023-2024
321,Central Ark. ,ASUN ,33,21,12,340,10.3,2023-2024
322,Delaware St. ,MEAC ,28,8,20,287,10.3,2023-2024
323,Portland St. ,Big Sky ,31,8,23,317,10.2,2023-2024
324,UNC Asheville ,Big South ,31,11,20,314,10.1,2023-2024
325,ETSU ,SoCon ,30,18,12,303,10.1,2023-2024
326,Longwood ,Big South ,30,9,21,302,10.1,2023-2024
327,Alabama St. ,SWAC ,29,3,26,290,10,2023-2024
328,Tennessee St. ,OVC ,30,11,19,299,10,2023-2024
329,Northwestern St. ,Southland ,30,11,19,298,9.9,2023-2024
330,Eastern Mich. ,MAC ,29,7,22,287,9.9,2023-2024
331,Kennesaw St. ,ASUN ,30,11,19,296,9.9,2023-2024
332,UMBC ,America East ,29,10,19,286,9.9,2023-2024
333,Florida A&M ,SWAC ,30,9,21,293,9.8,2023-2024
333,Saint Francis ,PA  ,30,5,25,293,9.8,2023-2024
335,Coppin St. ,MEAC ,30,12,18,292,9.7,2023-2024
336,Arizona St. ,Pac-12 ,31,11,20,301,9.7,2023-2024
337,Chattanooga ,SoCon ,33,28,5,320,9.7,2023-2024
338,UNCW ,CAA ,30,5,25,285,9.5,2023-2024
339,Wagner ,NEC ,28,7,21,264,9.4,2023-2024
340,Cincinnati ,Big 12 ,32,14,18,295,9.2,2023-2024
341,Morgan St. ,MEAC ,30,8,22,275,9.2,2023-2024
342,Stetson ,ASUN ,32,17,15,292,9.1,2023-2024
343,St. Bonaventure ,Atlantic 10 ,30,4,26,271,9,2023-2024
344,Louisiana ,Sun Belt ,31,17,14,280,9,2023-2024
345,Hampton ,CAA ,29,3,26,260,9,2023-2024
346,Utah St. ,Mountain West ,30,5,25,268,8.9,2023-2024
347,NJIT ,America East ,30,12,18,263,8.8,2023-2024
348,Jacksonville ,ASUN ,31,11,20,262,8.5,2023-2024
349,South Carolina St. ,MEAC ,30,2,28,243,8.1,2023-2024
